answer,label
Paris,Good
the capital of France is Paris,Bad
Banana,Good
a yellow fruit is a banana,Bad
Python,Good
a programming language named Python,Bad
Elephant,Good
the largest land animal is an elephant,Bad
Mars,Good
the fourth planet from the sun is Mars,Bad
Photosynthesis,Good
the process by which plants make food is photosynthesis,Bad
London,Good
the capital city of the United Kingdom is London,Bad
Gravity,Good
the force that attracts objects toward the center of the Earth is gravity,Bad
Beethoven,Good
a famous composer named Beethoven,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Water,Good
the chemical formula for water is H2O,Bad
Himalayas,Good
the highest mountain range in the world is the Himalayas,Bad
Photoshop,Good
a popular software for image editing is Photoshop,Bad
Football,Good
a sport played with a round ball is football,Bad
Leonardo da Vinci,Good
an Italian polymath named Leonardo da Vinci,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Socrates,Good
an ancient Greek philosopher named Socrates,Bad
Photosynthesis,Good
plants use sunlight to convert carbon dioxide into glucose in photosynthesis,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Java,Good
a programming language named Java,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Tokyo,Good
the capital city of Japan is Tokyo,Bad
Mitochondria,Good
the powerhouse of the cell is mitochondria,Bad
Shakespeare,Good
a famous playwright and poet is Shakespeare,Bad
Olympics,Good
the international sports event held every four years is the Olympics,Bad
Titanic,Good
the infamous ship that sank in 1912 is the Titanic,Bad
Photosynthesis,Good
plants convert sunlight into energy through photosynthesis,Bad
New York,Good
the largest city in the United States is New York,Bad
Gravity,Good
objects fall towards the Earth due to gravity,Bad
Google,Good
a popular search engine is Google,Bad
Dinosaurs,Good
extinct reptiles from the prehistoric era are dinosaurs,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Photoshop,Good
a software used for image editing is Photoshop,Bad
Sun,Good
the center of our solar system is the Sun,Bad
Beethoven,Good
a famous composer from the classical era is Beethoven,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Eiffel Tower,Good
an iconic landmark in Paris is the Eiffel Tower,Bad
Photosynthesis,Good
plants produce oxygen during photosynthesis,Bad
Hockey,Good
a sport played with a puck and sticks is hockey,Bad
Dalai Lama,Good
a spiritual leader in Tibetan Buddhism is the Dalai Lama,Bad
Astronomy,Good
the study of celestial objects is astronomy,Bad
Berlin,Good
the capital city of Germany is Berlin,Bad
Photoshop,Good
a tool for graphic design is Photoshop,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Pythagorean theorem,Good
a mathematical principle for right-angled triangles is the Pythagorean theorem,Bad
Mars,Good
the fourth planet from the sun is Mars,Bad
Football,Good
a sport played with a round ball is football,Bad
Galaxy,Good
a vast system of stars and planets is a galaxy,Bad
Economics,Good
the study of production and distribution of goods is economics,Bad
Java,Good
a programming language named Java,Bad
Napoleon,Good
a military and political leader is Napoleon,Bad
Pluto,Good
a dwarf planet in our solar system is Pluto,Bad
Chemistry,Good
the study of matter and its properties is chemistry,Bad
Easter Island,Good
large stone statues are found on Easter Island,Bad
Photography,Good
the art or practice of taking and processing photographs is photography,Bad
Washington, D.C.,Good
the capital city of the United States is Washington, D.C.,Bad
Alexander the Great,Good
a military commander who conquered much of the ancient world is Alexander the Great,Bad
Photosynthesis,Good
plants convert carbon dioxide into oxygen during photosynthesis,Bad
Monet,Good
a French painter associated with Impressionism is Monet,Bad
Wright Brothers,Good
pioneers of aviation who built and flew the first successful powered airplane are the Wright Brothers,Bad
Rome,Good
the capital city of Italy is Rome,Bad
Evolution,Good
the process by which species change over time is evolution,Bad
Shakespeare,Good
